feature,gain
cusum_1m_trend_aligned_t0,371645.5598615408
upper_shadow_ratio_t0,128642.44006860256
lower_shadow_ratio_t0,127060.08083033562
cusum_1m_price_move_t0,124747.99185693264
volume_t0,102656.17180001736
volume_t-1,42927.287558078766
candle_relative_body_t0,35460.32885622978
volume_ratio_ema3_t0,34058.73897123337
cusum_1m_quality_score_t0,17104.069314837456
upper_shadow_ratio_t-1,16415.218712210655
volume_t-2,15819.419206619263
lower_shadow_ratio_t-1,15750.51829969883
volume_ratio_ema3_t-1,14343.285606145859
upper_shadow_ratio_t-2,12226.851870298386
close_position_in_range_1m_t0,11818.274210453033
bb_position_t0,11653.164437294006
close_position_in_range_1m_t-1,10265.17374265194
cmo_14_t0,10148.508007526398
lower_shadow_ratio_t-2,9362.907129883766
plus_di_14_t0,9143.471860408783
cusum_1m_price_move_t-2,9011.647370100021
body_to_range_ratio_1m_t0,8455.36441719532
volume_t-3,8310.641414761543
volume_t-5,8134.964532375336
cusum_1m_price_move_t-1,8082.490403413773
close_position_in_range_1m_t-2,8063.2535499334335
cmo_14_t-1,7946.404768586159
cusum_1m_price_move_t-3,7749.688219308853
candle_relative_body_t-1,7680.118048667908
cusum_1m_quality_score_t-3,7531.677541732788
body_to_range_ratio_1m_t-2,7247.731556534767
cusum_1m_quality_score_t-1,7201.002673625946
body_to_range_ratio_1m_t-13,7193.626583099365
lower_shadow_ratio_t-3,6756.932547688484
candle_relative_body_t-6,6749.210801243782
lower_shadow_ratio_t-11,6735.916496753693
body_to_range_ratio_1m_t-4,6634.447916269302
cusum_1m_quality_score_t-14,6588.0893214941025
cusum_1m_quality_score_t-2,6571.568550467491
cusum_1m_quality_score_t-9,6565.396416306496
close_position_in_range_1m_t-11,6501.9749228954315
cusum_1m_quality_score_t-12,6494.779524087906
volume_t-10,6484.633106708527
cusum_1m_quality_score_t-8,6402.043202877045
body_to_range_ratio_1m_t-3,6396.098897099495
body_to_range_ratio_1m_t-6,6377.7565487623215
body_to_range_ratio_1m_t-8,6373.199725627899
cusum_1m_price_move_t-9,6296.540806949139
body_to_range_ratio_1m_t-14,6292.121210336685
cusum_1m_quality_score_t-7,6160.009537220001
close_position_in_range_1m_t-3,6147.992074728012
body_to_range_ratio_1m_t-1,6135.877426743507
volume_ratio_ema3_t-2,6124.879780769348
cusum_1m_quality_score_t-5,6119.336265921593
cusum_1m_quality_score_t-11,6116.085303783417
lower_shadow_ratio_t-10,6114.731393814087
