feature,gain
cusum_1m_trend_aligned_t0,387498.1152690649
upper_shadow_ratio_t0,112661.08591890335
lower_shadow_ratio_t0,104858.19049036503
cusum_1m_price_move_t0,94539.12993341684
volume_t0,90772.7847878933
volume_t-1,40841.17980271578
candle_relative_body_t0,35635.25313919783
volume_ratio_ema3_t0,34052.833116054535
upper_shadow_ratio_t-1,18052.926984906197
cusum_1m_quality_score_t0,17668.669595479965
volume_t-2,16957.002514004707
lower_shadow_ratio_t-1,16494.827933192253
volume_ratio_ema3_t-1,15410.120530366898
close_position_in_range_1m_t0,14325.962566494942
upper_shadow_ratio_t-2,13993.007008314133
close_position_in_range_1m_t-1,12731.412658691406
cusum_1m_price_move_t-2,11256.284315168858
lower_shadow_ratio_t-2,11053.938899815083
cusum_1m_price_move_t-1,10647.081268280745
body_to_range_ratio_1m_t0,10612.128476142883
candle_relative_body_t-1,9970.49418747425
cusum_1m_quality_score_t-3,9810.846831142902
volume_t-5,9671.807252883911
close_position_in_range_1m_t-2,9662.487880155444
cusum_1m_price_move_t-3,9643.587334513664
cusum_1m_quality_score_t-1,9554.758943587542
body_to_range_ratio_1m_t-2,9417.351740837097
body_to_range_ratio_1m_t-3,9277.57984405756
close_position_in_range_1m_t-6,9123.013496756554
body_to_range_ratio_1m_t-7,9121.426478385925
cusum_1m_quality_score_t-2,9039.376899063587
volume_t-3,8914.484369277954
body_to_range_ratio_1m_t-8,8881.822414398193
body_to_range_ratio_1m_t-4,8805.81618142128
cusum_1m_quality_score_t-8,8793.602935791016
cusum_1m_quality_score_t-9,8762.544723629951
lower_shadow_ratio_t-3,8752.662791252136
upper_shadow_ratio_t-10,8749.038751125336
lower_shadow_ratio_t-5,8732.494542300701
volume_t-10,8555.418368160725
candle_relative_body_t-6,8537.236988052726
cusum_1m_quality_score_t-5,8454.010144591331
lower_shadow_ratio_t-10,8437.46722126007
cusum_1m_price_move_t-7,8436.726103007793
lower_shadow_ratio_t-8,8422.206138849258
cusum_1m_price_move_t-9,8381.061349987984
upper_shadow_ratio_t-6,8376.654438376427
body_to_range_ratio_1m_t-6,8366.799335360527
cusum_1m_quality_score_t-7,8346.914759874344
