base_feature,total_gain
cusum_1m_trend_aligned,399892.9073935747
volume,240589.9517081976
upper_shadow_ratio,232674.62763183564
lower_shadow_ratio,220287.53759129345
cusum_1m_price_move,203428.3092072457
candle_relative_body,123358.89470018446
cusum_1m_quality_score,113345.49737346172
close_position_in_range_1m,103738.39296644926
body_to_range_ratio_1m,101777.35472279787
volume_ratio_ema3,90812.9141075015
cmo_14,24895.074336647987
bb_position,18169.06134545803
plus_di_14,16713.74941945076
price_vs_vwap,14304.001348376274
trend_acceleration_ema7,8530.785897374153
minus_di_14,5256.465452551842
regime_volatility,5043.718405127525
bb_width,4968.821587204933
adx_14,4858.244988203049
is_trend_pattern_1m,1879.1229753494263
atr_14_normalized,1351.0955785512924
