base_feature,total_gain
cusum_1m_trend_aligned,399641.2696431875
volume,235694.84916961193
upper_shadow_ratio,227455.81212820113
lower_shadow_ratio,215387.76263709366
cusum_1m_price_move,198269.4138597697
candle_relative_body,118471.1836759597
cusum_1m_quality_score,108031.81520706415
close_position_in_range_1m,98913.18494835496
body_to_range_ratio_1m,96641.20524054766
volume_ratio_ema3,88878.3931696415
cmo_14,24597.14941585064
bb_position,18097.541315317154
plus_di_14,16573.462519049644
price_vs_vwap,13792.37908744812
trend_acceleration_ema7,8349.93377673626
minus_di_14,5149.671882748604
regime_volatility,4819.698465704918
bb_width,4734.38165807724
adx_14,4626.160478949547
is_trend_pattern_1m,1814.2154747247696
atr_14_normalized,1286.4824380874634
