feature,gain
cusum_1m_trend_aligned_t0,394494.5428637266
upper_shadow_ratio_t0,130204.6074179411
lower_shadow_ratio_t0,122542.34149754047
cusum_1m_price_move_t0,108868.87713086605
volume_t0,103602.72048211098
volume_t-1,44527.80512431264
volume_ratio_ema3_t0,39440.73571944237
candle_relative_body_t0,39322.01135313511
cusum_1m_quality_score_t0,20595.734067082405
upper_shadow_ratio_t-1,19571.426998376846
volume_t-2,19359.791445970535
lower_shadow_ratio_t-1,18422.014137983322
volume_ratio_ema3_t-1,17143.358100891113
close_position_in_range_1m_t0,16012.544257998466
upper_shadow_ratio_t-2,15100.58512365818
close_position_in_range_1m_t-1,12726.094278812408
cusum_1m_price_move_t-2,12520.858071684837
bb_position_t0,12143.546196341515
lower_shadow_ratio_t-2,12036.232643961906
cmo_14_t0,11795.35282766819
cusum_1m_price_move_t-3,11175.76491367817
volume_t-5,11000.011049032211
body_to_range_ratio_1m_t0,10958.600930303335
volume_t-3,10557.375058412552
cusum_1m_price_move_t-1,10515.134608268738
close_position_in_range_1m_t-2,10496.095712900162
candle_relative_body_t-1,10479.912010908127
cusum_1m_quality_score_t-3,10351.642975211143
cusum_1m_quality_score_t-1,10105.301461935043
body_to_range_ratio_1m_t-2,10051.956930875778
volume_t-10,9740.406496405602
body_to_range_ratio_1m_t-4,9633.18101799488
cusum_1m_quality_score_t-2,9522.10694372654
volume_t-8,9520.286494255066
cusum_1m_quality_score_t-8,9494.8580493927
volume_t-6,9451.859318733215
body_to_range_ratio_1m_t-8,9347.591489315033
candle_relative_body_t-6,9321.349431753159
cusum_1m_quality_score_t-9,9265.642024159431
lower_shadow_ratio_t-4,9245.423516988754
body_to_range_ratio_1m_t-1,9158.794777363539
lower_shadow_ratio_t-10,9158.52799141407
cusum_1m_price_move_t-5,9141.29445117712
plus_di_14_t0,9055.759510040283
lower_shadow_ratio_t-3,9048.829117298126
cusum_1m_quality_score_t-7,9031.155784487724
close_position_in_range_1m_t-6,8998.336974978447
body_to_range_ratio_1m_t-7,8946.7005494833
lower_shadow_ratio_t-5,8927.639956712723
cusum_1m_price_move_t-9,8920.817302703857
upper_shadow_ratio_t-3,8916.36010825634
close_position_in_range_1m_t-9,8910.534211397171
cusum_1m_price_move_t-10,8909.379125714302
body_to_range_ratio_1m_t-3,8902.20380923152
body_to_range_ratio_1m_t-6,8901.478078246117
candle_relative_body_t-9,8895.242435961962
candle_relative_body_t-10,8876.624080896378
body_to_range_ratio_1m_t-10,8810.59210216999
cusum_1m_quality_score_t-10,8781.031986832619
upper_shadow_ratio_t-6,8779.559106349945
cusum_1m_quality_score_t-5,8772.181853890419
cusum_1m_quality_score_t-6,8705.03824698925
close_position_in_range_1m_t-3,8569.109320282936
upper_shadow_ratio_t-5,8541.964582204819
upper_shadow_ratio_t-9,8494.122176527977
cusum_1m_price_move_t-6,8454.094063520432
cusum_1m_price_move_t-7,8434.108299255371
close_position_in_range_1m_t-10,8367.528863430023
body_to_range_ratio_1m_t-5,8317.120358228683
upper_shadow_ratio_t-10,8287.861823439598
candle_relative_body_t-8,8257.63434946537
candle_relative_body_t-5,8229.965671777725
cusum_1m_price_move_t-8,8228.505766034126
lower_shadow_ratio_t-6,8159.229334831238
candle_relative_body_t-3,8154.547027230263
volume_t-4,8140.430140733719
volume_t-7,8098.82246285677
cusum_1m_price_move_t-4,8048.733859434724
lower_shadow_ratio_t-9,8031.771013379097
candle_relative_body_t-4,7999.83308160305
lower_shadow_ratio_t-8,7980.3530341386795
upper_shadow_ratio_t-8,7946.725900292397
volume_t-9,7927.755962610245
cusum_1m_quality_score_t-4,7803.487986207008
upper_shadow_ratio_t-7,7787.9537798166275
cmo_14_t-1,7736.07700574398
upper_shadow_ratio_t-4,7704.455867111683
body_to_range_ratio_1m_t-9,7547.983294725418
close_position_in_range_1m_t-4,7488.598702549934
close_position_in_range_1m_t-7,7460.3978662490845
lower_shadow_ratio_t-7,7400.4709050655365
candle_relative_body_t-7,7382.882355451584
close_position_in_range_1m_t-8,7368.332387089729
close_position_in_range_1m_t-5,7102.990243315697
candle_relative_body_t-2,6614.974227547646
volume_ratio_ema3_t-2,6587.387439250946
volume_ratio_ema3_t-5,4075.6010798215866
volume_ratio_ema3_t-3,3833.085233569145
bb_position_t-2,3805.421738386154
volume_ratio_ema3_t-7,3723.060160636902
volume_ratio_ema3_t-8,3595.5889035463333
volume_ratio_ema3_t-10,3451.157113313675
trend_acceleration_ema7_t-2,3444.0263600349426
volume_ratio_ema3_t-6,3249.5803018808365
volume_ratio_ema3_t-4,3133.689801454544
plus_di_14_t-1,2866.5048344135284
price_vs_vwap_t0,2865.934647321701
price_vs_vwap_t-2,2654.9593575000763
volume_ratio_ema3_t-9,2590.8455827236176
cusum_1m_trend_aligned_t-2,2488.153926372528
trend_acceleration_ema7_t0,1950.037654042244
plus_di_14_t-2,1912.021099805832
minus_di_14_t0,1587.929027915001
price_vs_vwap_t-3,1467.6024577617645
cmo_14_t-2,1404.9021881818771
minus_di_14_t-1,1189.9511907100677
price_vs_vwap_t-1,1129.3536990880966
price_vs_vwap_t-9,1021.184804558754
price_vs_vwap_t-8,982.8733103275299
price_vs_vwap_t-6,966.2221710681915
price_vs_vwap_t-10,877.8245033025742
price_vs_vwap_t-5,796.8621628284454
bb_width_t0,786.571306347847
adx_14_t0,782.3520209789276
regime_volatility_t0,778.9182479381561
price_vs_vwap_t-4,777.3201811313629
price_vs_vwap_t-7,712.8170801401138
is_trend_pattern_1m_t0,691.3017172813416
trend_acceleration_ema7_t-10,675.983903169632
cmo_14_t-5,619.745570898056
regime_volatility_t-10,605.9746932983398
cmo_14_t-10,604.7517712116241
bb_width_t-10,595.8407076597214
trend_acceleration_ema7_t-1,582.1452810764313
regime_volatility_t-3,574.359899520874
adx_14_t-2,549.5616898536682
plus_di_14_t-3,541.9190056324005
regime_volatility_t-5,532.6784083843231
cusum_1m_trend_aligned_t-3,532.0385026931763
adx_14_t-1,529.2260093688965
adx_14_t-10,528.9832774400711
cmo_14_t-9,526.2429201602936
plus_di_14_t-5,522.3255190849304
cmo_14_t-3,507.2293405532837
cmo_14_t-7,502.8801519870758
cmo_14_t-8,489.86561942100525
regime_volatility_t-6,475.3411920070648
cusum_1m_trend_aligned_t-1,474.10222911834717
minus_di_14_t-2,470.82961773872375
adx_14_t-4,468.22533226013184
bb_width_t-1,468.068439245224
bb_width_t-7,465.08930146694183
bb_position_t-1,464.4709198474884
adx_14_t-8,462.76067090034485
adx_14_t-9,460.2868400812149
regime_volatility_t-8,460.2129498720169
bb_width_t-9,459.4920320510864
cmo_14_t-4,457.44742918014526
cmo_14_t-6,440.6388506889343
bb_width_t-5,437.2611517906189
trend_acceleration_ema7_t-9,427.2987701892853
regime_volatility_t-2,425.7225499153137
bb_width_t-3,425.61988174915314
adx_14_t-5,425.56219029426575
bb_width_t-8,424.7023501396179
adx_14_t-7,406.9760093688965
plus_di_14_t-6,406.72770261764526
bb_width_t-2,404.0183095932007
regime_volatility_t-4,402.7909197807312
regime_volatility_t-1,394.6872698068619
adx_14_t-6,372.2354998588562
regime_volatility_t-9,353.970579624176
cusum_1m_trend_aligned_t-5,341.53895139694214
trend_acceleration_ema7_t-7,336.0113983154297
cusum_1m_trend_aligned_t-4,333.43826937675476
bb_width_t-4,332.1560480594635
plus_di_14_t-10,325.29538214206696
minus_di_14_t-3,322.24649000167847
regime_volatility_t-7,315.6768900156021
plus_di_14_t-7,298.5829713344574
adx_14_t-3,293.2976703643799
trend_acceleration_ema7_t-3,289.15989804267883
plus_di_14_t-9,278.8029487133026
trend_acceleration_ema7_t-8,277.0562300682068
bb_width_t-6,267.244589805603
bb_position_t-3,261.58242869377136
is_trend_pattern_1m_t-9,245.3135404586792
atr_14_normalized_t-10,245.13981020450592
cusum_1m_trend_aligned_t-7,241.23183012008667
trend_acceleration_ema7_t-4,234.8653883934021
minus_di_14_t-8,228.21788787841797
cusum_1m_trend_aligned_t-6,223.30709958076477
plus_di_14_t-8,221.23544824123383
trend_acceleration_ema7_t-6,211.33662056922913
trend_acceleration_ema7_t-5,208.29968881607056
is_trend_pattern_1m_t-7,189.78693962097168
cusum_1m_trend_aligned_t-10,188.58841109275818
minus_di_14_t-6,184.47301197052002
atr_14_normalized_t0,176.62500071525574
bb_position_t-10,158.011399269104
minus_di_14_t-5,156.8226101398468
is_trend_pattern_1m_t-3,149.34988117218018
plus_di_14_t-4,148.36763954162598
atr_14_normalized_t-9,145.37001013755798
cusum_1m_trend_aligned_t-8,145.3259983062744
is_trend_pattern_1m_t-1,144.5488317012787
atr_14_normalized_t-6,144.2353115081787
minus_di_14_t-4,144.20584881305695
atr_14_normalized_t-8,142.53136920928955
is_trend_pattern_1m_t-10,141.63857054710388
bb_position_t-7,139.18974089622498
minus_di_14_t-7,128.8042697906494
is_trend_pattern_1m_t-4,128.72585034370422
atr_14_normalized_t-3,120.79633903503418
minus_di_14_t-9,119.07498979568481
bb_position_t-9,114.33290076255798
minus_di_14_t-10,113.8658595085144
cusum_1m_trend_aligned_t-9,110.22251892089844
bb_position_t-5,108.1912100315094
bb_position_t-8,107.29332137107849
atr_14_normalized_t-5,101.49833905696869
atr_14_normalized_t-7,99.92900085449219
atr_14_normalized_t-2,92.85313010215759
bb_position_t-6,91.94696044921875
bb_position_t-4,90.74462151527405
is_trend_pattern_1m_t-5,88.42651987075806
atr_14_normalized_t-1,76.53535914421082
is_trend_pattern_1m_t-2,72.47321009635925
is_trend_pattern_1m_t-8,62.76383972167969
atr_14_normalized_t-4,59.888389348983765
is_trend_pattern_1m_t-6,24.93373966217041
