tau,spd_per_day,precision,recall,f1,signals
0.45,92.26194690265487,0.6295083639330885,0.992684123278866,0.7703641456582633,1086
0.46,90.64778761061947,0.6321979384639231,0.9925778264192898,0.7723636879969709,1067
0.47000000000000003,88.86371681415929,0.642018315018315,0.9940703129117838,0.7801013701742334,1046
0.48,87.41946902654867,0.6458461014640791,0.9940106338148138,0.782869860652365,1029
0.49,85.89026548672567,0.6553527361040385,0.993993939831181,0.7897639475818501,1011
0.5,84.61592920353982,0.6602678193067208,0.9954590951248405,0.7937255977636025,996
0.51,83.76637168141593,0.6636182542557044,0.9954494902687674,0.7961892737748062,986
0.52,82.23716814159292,0.6696914700544465,0.9953986861479216,0.8005857449399756,968
0.53,80.53805309734513,0.671247578544232,0.9953076018808777,0.8016526562589352,948
0.54,79.60353982300884,0.6814007569194291,0.9953173676012461,0.8088281846302173,937
0.55,77.6495575221239,0.6930092714597159,0.9952830188679245,0.816950078353853,914
0.56,76.46017699115045,0.7003245742741542,0.9952680443246481,0.8220220404244671,900
0.57,74.93097345132743,0.7020833333333334,0.995176848874598,0.8232402997401944,882
0.58,73.48672566371681,0.7032029059938799,0.9950762933436201,0.823990537204655,865
0.59,72.29734513274336,0.7065132087984967,0.9950219298245614,0.8262426762426762,851
0.6,70.25840707964602,0.7122936241414413,0.994914789914048,0.8301979017644253,827
0.61,69.23893805309734,0.7142246259847262,0.9948804263973631,0.8314560879689628,815
0.62,67.53982300884955,0.7120989592565394,0.9964788732394366,0.8305684754521965,795
0.63,66.4353982300885,0.7136062699534202,0.9964157706093191,0.8316078231028088,782
0.64,65.16106194690265,0.7158294908937582,0.9963503649635037,0.8330938300263453,767
0.6499999999999999,63.12212389380531,0.7175581648184388,0.9962686567164178,0.8341746574084279,743
0.6599999999999999,61.50796460176991,0.7215091285324863,0.9962121212121212,0.836679706262345,724
0.6699999999999999,59.63893805309735,0.7200687486286843,0.9960474308300395,0.8356558543957248,702
0.6799999999999999,57.43008849557522,0.7326875388834854,0.9959349593495934,0.8441623036649215,676
0.69,55.815929203539824,0.7295496280907421,0.9958333333333333,0.8419951739628809,657
0.7,53.94690265486726,0.7376062604274252,0.9957264957264957,0.8472752061456981,635
