feature,gain
cusum_1m_trend_aligned_t0,387206.34739792347
upper_shadow_ratio_t0,111424.19873094559
lower_shadow_ratio_t0,103732.87234020233
cusum_1m_price_move_t0,93501.6304385066
volume_t0,89318.47540843487
volume_t-1,39918.50746279955
candle_relative_body_t0,34791.23982691765
volume_ratio_ema3_t0,33470.7525550127
upper_shadow_ratio_t-1,17202.095054745674
cusum_1m_quality_score_t0,16732.817826390266
volume_t-2,16171.01982486248
lower_shadow_ratio_t-1,15738.84730219841
volume_ratio_ema3_t-1,14968.119608044624
close_position_in_range_1m_t0,13493.007217496634
upper_shadow_ratio_t-2,13092.276987552643
close_position_in_range_1m_t-1,11796.488309264183
cusum_1m_price_move_t-2,10393.800614595413
lower_shadow_ratio_t-2,10203.062427520752
body_to_range_ratio_1m_t0,9719.188487529755
cusum_1m_price_move_t-1,9535.731334000826
candle_relative_body_t-1,9002.860023021698
volume_t-5,8923.392803668976
cusum_1m_price_move_t-3,8834.80790257454
cusum_1m_quality_score_t-3,8758.192819416523
close_position_in_range_1m_t-2,8725.754470035434
cusum_1m_quality_score_t-1,8505.740287005901
body_to_range_ratio_1m_t-2,8404.736060142517
body_to_range_ratio_1m_t-3,8231.637388586998
close_position_in_range_1m_t-6,8164.220638155937
cusum_1m_quality_score_t-2,8143.413728773594
volume_t-3,8129.901939272881
body_to_range_ratio_1m_t-7,8117.549967169762
body_to_range_ratio_1m_t-8,8087.599785327911
cusum_1m_quality_score_t-8,7919.031767964363
body_to_range_ratio_1m_t-4,7895.490020632744
lower_shadow_ratio_t-3,7867.585201025009
upper_shadow_ratio_t-10,7797.115632772446
lower_shadow_ratio_t-5,7792.805723845959
cusum_1m_quality_score_t-9,7784.947558999062
candle_relative_body_t-6,7644.0801952928305
volume_t-10,7585.678875565529
lower_shadow_ratio_t-10,7519.113950252533
upper_shadow_ratio_t-6,7518.816608786583
lower_shadow_ratio_t-8,7481.818707585335
cusum_1m_price_move_t-7,7451.124601125717
cusum_1m_quality_score_t-5,7450.398804068565
cusum_1m_price_move_t-9,7448.155200719833
body_to_range_ratio_1m_t-6,7435.292454361916
cusum_1m_quality_score_t-7,7413.493702530861
cusum_1m_price_move_t-10,7412.475863575935
volume_t-8,7327.4775512218475
body_to_range_ratio_1m_t-1,7217.648241758347
volume_t-4,7116.333608746529
volume_t-6,7104.454586863518
cusum_1m_quality_score_t-10,7067.043413877487
close_position_in_range_1m_t-3,7046.034999370575
candle_relative_body_t-8,7022.318590044975
candle_relative_body_t-9,6987.7371999025345
lower_shadow_ratio_t-4,6949.2927812337875
body_to_range_ratio_1m_t-5,6915.891488075256
candle_relative_body_t-4,6891.5081824064255
upper_shadow_ratio_t-9,6889.505814194679
close_position_in_range_1m_t-9,6883.428736448288
body_to_range_ratio_1m_t-10,6882.004863977432
lower_shadow_ratio_t-9,6845.8821811676025
close_position_in_range_1m_t-7,6834.025595784187
volume_t-7,6766.2059597969055
lower_shadow_ratio_t-6,6758.251344203949
lower_shadow_ratio_t-7,6747.869590163231
cusum_1m_quality_score_t-4,6743.222786068916
cusum_1m_price_move_t-8,6728.930097222328
cusum_1m_quality_score_t-6,6697.067443370819
cusum_1m_price_move_t-5,6588.844081997871
upper_shadow_ratio_t-4,6566.3760578632355
upper_shadow_ratio_t-3,6491.813269138336
close_position_in_range_1m_t-10,6477.692296385765
cusum_1m_price_move_t-6,6442.816896557808
close_position_in_range_1m_t-8,6439.19508767128
close_position_in_range_1m_t-4,6421.196598410606
body_to_range_ratio_1m_t-9,6345.948112010956
upper_shadow_ratio_t-8,6343.707597732544
upper_shadow_ratio_t-5,6318.666268587112
candle_relative_body_t-10,6266.517461836338
cusum_1m_price_move_t-4,6230.613493680954
candle_relative_body_t-5,6191.452159404755
upper_shadow_ratio_t-7,6153.774347186089
volume_t-9,6093.356432557106
candle_relative_body_t-3,5964.945536971092
candle_relative_body_t-7,5943.882214337587
close_position_in_range_1m_t-5,5854.119081497192
plus_di_14_t0,5686.927320718765
candle_relative_body_t-2,5382.076667606831
volume_ratio_ema3_t-2,5289.576891183853
volume_ratio_ema3_t-5,3640.3709256649017
cusum_1m_trend_aligned_t-2,3304.9303889274597
volume_ratio_ema3_t-3,3266.6078873872757
