tau,spd_per_day,precision,recall,f1,signals
0.45,94.45222178529296,0.6044888721237269,0.9712194005948296,0.7442820461734425,834
0.46,93.31970114038538,0.6104777465129648,0.9709550251564609,0.7488050716044878,824
0.47000000000000003,92.18718049547778,0.6121456536822282,0.9744859460479155,0.7512976849580677,814
0.48,90.82815572158867,0.612630075494797,0.9742264711581939,0.7515424090411117,802
0.49,89.46913094769957,0.6219994222082151,0.9782502602811036,0.7597527472527472,790
0.5,87.9968541093197,0.6288309550691715,0.9800884955752213,0.7649822372936095,777
0.51,86.86433346441211,0.6257456379307936,0.9795454545454545,0.7627329709268922,767
0.52,84.93904836806921,0.6280734106076572,0.9771613704952956,0.7637489834643534,750
0.53,82.56075501376327,0.639032634032634,0.9791121520979341,0.7722602739726028,729
0.54,81.31498230436492,0.6420228468745989,0.9811462621477847,0.7751193647946397,718
0.55,80.18246165945733,0.6452780888391191,0.9808054956896552,0.7771916270310727,708
0.56,78.48368069209594,0.647511961722488,0.9803391053391053,0.7784323625003944,693
0.57,76.89815178922532,0.6452635482237175,0.9824234382240196,0.7776349783823684,679
0.58,75.53912701533622,0.647794860285041,0.9847233064446179,0.7805418392314473,667
0.59,73.50058985450255,0.6603966900013727,0.9900044228217603,0.7914484365073763,649
0.6,72.0283130161227,0.664423076923077,0.9898168398031711,0.7943008294498667,636
0.61,70.8957923712151,0.676340793918919,0.9919354838709677,0.8034660932156563,626
0.62,69.31026346834447,0.6836115578725528,0.9917127071823204,0.8085667190197023,612
0.63,67.0452221785293,0.6892813656299133,0.9915730337078652,0.8124886840589252,592
0.64,65.34644121116791,0.6952136323768952,0.9913294797687862,0.8162515860539843,577
0.6499999999999999,63.42115611482501,0.6975830248403885,0.9939024390243902,0.8187740351202335,560
0.6599999999999999,62.0621313409359,0.6950236308034473,0.9938650306748467,0.817067591321727,548
0.6699999999999999,60.02359418010224,0.6973270440251572,0.9937106918238994,0.8186178553493282,530
0.6799999999999999,57.87180495477782,0.7049339487505968,0.9935897435897436,0.823836455370667,511
0.69,56.05977192292568,0.7073267426951886,0.9935483870967742,0.8253124460058745,495
0.7,54.24773889107354,0.7150068507968559,0.9933333333333334,0.8306992512377747,479
