feature,gain
cmo_14_t-10,518.8065800666809
is_trend_pattern_1m_t0,509.1973798274994
adx_14_t-1,505.25182342529297
cmo_14_t-9,472.96421003341675
plus_di_14_t-3,468.06497716903687
adx_14_t-11,465.48387908935547
price_vs_vwap_t-4,463.7413697242737
adx_14_t-10,457.8153784275055
plus_di_14_t-7,456.4789264202118
adx_14_t-2,453.97565031051636
adx_14_t-8,451.2622104883194
cusum_1m_trend_aligned_t-4,442.4256589412689
adx_14_t-9,426.5459693670273
bb_position_t-3,420.47702944278717
bb_width_t-10,418.0697383880615
regime_volatility_t-5,406.9406793117523
regime_volatility_t-11,402.90649926662445
regime_volatility_t-2,392.5847507715225
bb_position_t-1,387.60974287986755
bb_width_t-4,374.19147992134094
bb_width_t-3,371.8571115732193
bb_width_t-2,364.05617928504944
regime_volatility_t-6,359.16771030426025
cmo_14_t-7,355.01969957351685
adx_14_t-3,353.7876970767975
cmo_14_t-4,341.9513113498688
cmo_14_t-3,339.4222092628479
regime_volatility_t-10,331.45820128917694
cmo_14_t-5,331.16716837882996
bb_width_t-6,328.970009803772
regime_volatility_t-7,320.29346096515656
bb_width_t-1,318.9237082004547
trend_acceleration_ema7_t-11,315.6056603193283
bb_width_t-9,314.0072901248932
cmo_14_t-8,312.2794828414917
regime_volatility_t-3,302.3671599626541
regime_volatility_t-9,300.7497812509537
plus_di_14_t-8,298.7144796848297
cusum_1m_trend_aligned_t-6,296.30544996261597
minus_di_14_t-8,290.4282512664795
trend_acceleration_ema7_t-4,287.76933789253235
bb_position_t-11,287.1036388874054
plus_di_14_t-11,284.33925127983093
cmo_14_t-6,276.1322603225708
bb_width_t-8,271.1799285411835
adx_14_t-5,269.90218210220337
regime_volatility_t-4,265.3747293949127
adx_14_t-6,255.1744487285614
trend_acceleration_ema7_t-5,254.92092108726501
minus_di_14_t-6,250.32416820526123
atr_14_normalized_t0,248.6179200410843
trend_acceleration_ema7_t-9,245.54643082618713
trend_acceleration_ema7_t-3,242.63998103141785
cusum_1m_trend_aligned_t-5,236.43216037750244
is_trend_pattern_1m_t-9,231.7441108226776
plus_di_14_t-9,224.75492942333221
bb_position_t-10,222.53128933906555
bb_width_t-5,213.82229137420654
adx_14_t-7,212.56038010120392
bb_width_t-7,211.4709095954895
minus_di_14_t-5,208.3990228176117
minus_di_14_t-7,207.15096974372864
trend_acceleration_ema7_t-6,206.4346203804016
plus_di_14_t-6,205.57326984405518
cusum_1m_trend_aligned_t-7,202.47336983680725
plus_di_14_t-4,198.3746292591095
plus_di_14_t-10,195.67400097846985
bb_position_t-6,190.5852587223053
minus_di_14_t-4,181.21518182754517
adx_14_t-4,177.67338144779205
trend_acceleration_ema7_t-8,174.06386041641235
atr_14_normalized_t-1,173.8881595134735
atr_14_normalized_t-11,173.00768077373505
minus_di_14_t-9,163.72462117671967
cusum_1m_trend_aligned_t-10,159.66992926597595
is_trend_pattern_1m_t-3,153.27811908721924
atr_14_normalized_t-8,150.0168492794037
is_trend_pattern_1m_t-4,149.17534017562866
bb_position_t-7,146.19447946548462
is_trend_pattern_1m_t-1,141.03503942489624
atr_14_normalized_t-7,139.6609399318695
bb_position_t-9,138.2225991487503
cusum_1m_trend_aligned_t-11,137.88262009620667
bb_position_t-8,136.43234872817993
trend_acceleration_ema7_t-7,131.10022127628326
bb_position_t-5,130.76862049102783
is_trend_pattern_1m_t-10,127.17853879928589
minus_di_14_t-10,123.12093019485474
bb_position_t-4,118.84403944015503
cusum_1m_trend_aligned_t-9,118.08977007865906
is_trend_pattern_1m_t-8,117.7744688987732
atr_14_normalized_t-2,109.17422890663147
is_trend_pattern_1m_t-2,102.02937984466553
atr_14_normalized_t-6,99.78700041770935
cusum_1m_trend_aligned_t-8,97.95592987537384
is_trend_pattern_1m_t-7,93.68133044242859
is_trend_pattern_1m_t-6,93.01949048042297
atr_14_normalized_t-10,92.45564031600952
is_trend_pattern_1m_t-5,84.00789952278137
atr_14_normalized_t-4,81.54128050804138
minus_di_14_t-11,79.57154035568237
atr_14_normalized_t-3,78.68539881706238
atr_14_normalized_t-5,75.12929964065552
atr_14_normalized_t-9,73.51597046852112
is_trend_pattern_1m_t-11,39.69810914993286
cusum_1m_recent_t-2,0.0
cusum_1m_recent_t-11,0.0
cusum_1m_recent_t-10,0.0
cusum_1m_recent_t-3,0.0
cusum_1m_recent_t0,0.0
cusum_1m_recent_t-1,0.0
cusum_1m_recent_t-7,0.0
cusum_1m_recent_t-9,0.0
cusum_1m_recent_t-4,0.0
cusum_1m_recent_t-6,0.0
cusum_1m_recent_t-5,0.0
cusum_1m_recent_t-8,0.0
