feature,gain
cusum_1m_trend_aligned_t0,394474.8416085243
upper_shadow_ratio_t0,130279.18478631973
lower_shadow_ratio_t0,121775.45338228345
cusum_1m_price_move_t0,108349.33865427971
volume_t0,102551.82121431828
volume_t-1,44309.93652033806
volume_ratio_ema3_t0,39202.05491793156
candle_relative_body_t0,38431.97012460232
cusum_1m_quality_score_t0,20442.07325220108
upper_shadow_ratio_t-1,19168.680356025696
volume_t-2,18501.549821853638
lower_shadow_ratio_t-1,18127.309385180473
volume_ratio_ema3_t-1,16827.82271504402
close_position_in_range_1m_t0,15630.939514517784
upper_shadow_ratio_t-2,14895.170529484749
close_position_in_range_1m_t-1,12299.040261119604
bb_position_t0,12128.730348944664
cusum_1m_price_move_t-2,11991.577508091927
cmo_14_t0,11818.109536528587
lower_shadow_ratio_t-2,11707.27455675602
cusum_1m_price_move_t-3,10881.220348834991
body_to_range_ratio_1m_t0,10831.873836994171
volume_t-5,10370.871999621391
volume_t-3,10288.8287961483
cusum_1m_quality_score_t-3,10134.188501238823
cusum_1m_price_move_t-1,10109.441506505013
close_position_in_range_1m_t-2,9957.69183242321
candle_relative_body_t-1,9746.011312261224
cusum_1m_quality_score_t-1,9735.795279979706
body_to_range_ratio_1m_t-2,9515.406706929207
cusum_1m_quality_score_t-8,9462.749293088913
candle_relative_body_t-6,9331.021707773209
body_to_range_ratio_1m_t-4,9285.93633890152
body_to_range_ratio_1m_t-8,9193.469991207123
lower_shadow_ratio_t-3,9110.212408781052
volume_t-8,9103.118243932724
cusum_1m_quality_score_t-2,9063.011355400085
plus_di_14_t0,9054.80052959919
volume_t-6,8837.43578863144
volume_t-10,8827.657658696175
close_position_in_range_1m_t-6,8819.083088159561
cusum_1m_quality_score_t-9,8764.896491765976
body_to_range_ratio_1m_t-5,8707.95737016201
body_to_range_ratio_1m_t-10,8700.03442633152
cusum_1m_price_move_t-10,8636.112796753645
cusum_1m_price_move_t-5,8622.881796777248
lower_shadow_ratio_t-4,8586.843183398247
cusum_1m_quality_score_t-10,8439.68902438879
lower_shadow_ratio_t-5,8431.350207448006
upper_shadow_ratio_t-3,8413.927130818367
body_to_range_ratio_1m_t-6,8413.87686598301
upper_shadow_ratio_t-6,8413.729657068849
cusum_1m_quality_score_t-5,8359.685112595558
body_to_range_ratio_1m_t-1,8342.943462133408
close_position_in_range_1m_t-9,8331.87217104435
close_position_in_range_1m_t-3,8314.385927915573
body_to_range_ratio_1m_t-3,8311.53218960762
cusum_1m_quality_score_t-7,8310.264610409737
