tau,spd_per_day,precision,recall,f1,signals
0.45,91.07256637168142,0.6428740777931188,0.9942196531791907,0.7805309734513275,1072
0.46,88.86371681415929,0.6455822300353422,0.994100243647755,0.7824234483297265,1046
0.47000000000000003,87.75929203539823,0.6515763990541605,0.9940823740534863,0.7868110640746373,1033
0.48,86.73982300884956,0.6540833026000369,0.9940387348969439,0.7887583219531832,1021
0.49,85.89026548672567,0.6586277413440519,0.9940205927567838,0.7919858690906204,1011
0.5,84.10619469026548,0.6674632352941177,0.9939754116953228,0.7983386590814363,990
0.51,82.66194690265486,0.672207182437291,0.9939105772439105,0.8015633635053555,973
0.52,81.13274336283186,0.6752225675604488,0.9938262195121952,0.8037621517938882,955
0.53,80.11327433628318,0.677013588912887,0.9937672928498616,0.8051030968871906,943
0.54,79.1787610619469,0.6818056169836355,0.9937394678057765,0.8085313987111162,932
0.55,77.22477876106194,0.6869277277704031,0.9936305086464832,0.8121762842770278,909
0.56,75.270796460177,0.6953978179001493,0.9935473127679947,0.8180610889774236,886
0.57,74.08141592920354,0.698394495412844,0.9918936136327441,0.8195277045571892,872
0.58,72.8070796460177,0.6976977876539983,0.9917483210393042,0.8190337832384535,857
0.59,71.61769911504425,0.6962416130049083,0.9933236291949386,0.8185606886031815,843
0.6,70.00353982300885,0.6989300527903469,0.99319339330763,0.8204116429180368,824
0.61,68.64424778761062,0.7042803225253045,0.9948630136986301,0.8245897782744221,808
0.62,67.36991150442478,0.7075741768028907,0.9964788732394366,0.8274538809606683,793
0.63,65.75575221238938,0.7056104728827144,0.9963503649635037,0.8260817813913457,774
0.64,63.88672566371682,0.7155065082059988,0.996309963099631,0.8328352987129379,752
0.6499999999999999,62.10265486725664,0.7223328442674491,0.9962686567164178,0.8374202571894307,731
0.6599999999999999,60.488495575221236,0.7205056179775281,0.9961832061068703,0.8361471136831029,712
0.6699999999999999,59.04424778761062,0.7266873706004141,0.99609375,0.8402662229617305,695
0.6799999999999999,57.515044247787614,0.7282752902155887,0.9959677419354839,0.8413102417971561,677
0.69,55.39115044247787,0.7380082831325301,0.9958847736625515,0.8476443627420537,652
0.7,53.861946902654864,0.7399566013696448,0.9957805907172996,0.8489143111740116,634
