tau,spd_per_day,precision,recall,f1,signals
0.45,90.53612503686229,0.6449862349262749,0.9942098206804089,0.7823104814864767,1066
0.46,89.09230315541139,0.6526740206786078,0.9941848179797315,0.7879059288097001,1049
0.47000000000000003,87.988204069596,0.6588283582089552,0.9941683031122219,0.792382129942214,1036
0.48,86.62931288705397,0.6643187969461652,0.9941252587991718,0.7963179200827895,1020
0.49,84.93069890887644,0.6673123719262295,0.994038628973507,0.7984748050518858,1000
0.5,83.40194632851666,0.6785483067729083,0.9955179193851105,0.8069143159068893,982
0.51,82.12798584488351,0.681899503509673,0.9954728002920774,0.8092356399819087,967
0.52,81.19374815688587,0.6835315244289688,0.9954268292682926,0.810364498889089,956
0.53,79.32527278089059,0.6802931932368258,0.9952978056426331,0.8080569641157156,934
0.54,78.30610439398407,0.682611562463205,0.995237713701964,0.809714304653321,922
0.55,76.86228251253317,0.685591537724223,0.9951603925287593,0.8117718665077882,905
0.56,74.9938071365379,0.6901950507666379,0.9950641025641025,0.8149744537839213,883
0.57,74.05956944854026,0.6953036535331883,0.9950426151688424,0.8185446780551905,872
0.58,72.78560896490711,0.6958098549334613,0.9949888517279821,0.818826753330578,857
0.59,71.34178708345621,0.6990634312473393,0.9948721486387049,0.8211108957377613,840
0.6,70.40754939545857,0.70238595018192,0.9948177436713304,0.8233738603650438,829
0.61,68.79386611618992,0.7051120785985138,0.9947136885086525,0.82522964459193,810
0.62,66.75552934237687,0.710119568387285,0.9946153846153846,0.8286042674102573,786
0.63,65.14184606310823,0.7080197602101224,0.9944625669525995,0.827138280089153,767
0.64,64.1226776762017,0.707332743511965,0.9943729011129305,0.8266397500785201,755
0.6499999999999999,62.424063698024185,0.7064270152505447,0.9942300916138125,0.8259174834739001,735
0.6599999999999999,60.98024181657328,0.7120689655172414,0.9941399152029073,0.8297157622739018,718
0.6699999999999999,58.85697434385137,0.7175681306775564,0.994,0.8333389554168775,693
0.6799999999999999,56.56384547331171,0.7243769688326458,0.9938186579600721,0.8377608649693455,666
0.69,54.27071660277204,0.7426890261841719,0.9937236286919832,0.8497412322548934,639
0.7,52.572102624594514,0.7472251254180602,0.9935529820926448,0.8526887871853548,619
