feature,gain
cusum_1m_trend_aligned_t0,399384.56776857376
lower_shadow_ratio_t0,130125.27072882652
upper_shadow_ratio_t0,125481.62925258279
cusum_1m_price_move_t0,101248.82947432995
volume_t0,99035.13429057598
volume_t-1,44131.72393670678
volume_ratio_ema3_t0,43693.880462646484
candle_relative_body_t0,40887.09337049723
cusum_1m_quality_score_t0,20240.67122423649
upper_shadow_ratio_t-1,19292.376540780067
volume_t-2,18657.807379841805
lower_shadow_ratio_t-1,18055.117351531982
volume_ratio_ema3_t-1,16840.880684018135
close_position_in_range_1m_t0,15297.074886202812
upper_shadow_ratio_t-2,14990.801460504532
close_position_in_range_1m_t-1,13694.676126718521
lower_shadow_ratio_t-2,12426.374370217323
cmo_14_t0,12223.76550245285
cusum_1m_price_move_t-2,11802.509594142437
cusum_1m_price_move_t-3,11554.998197048903
candle_relative_body_t-1,11317.480212688446
body_to_range_ratio_1m_t0,11171.433042407036
cmo_14_t-1,11150.680977106094
bb_position_t0,10706.396238565445
volume_t-5,10676.03236746788
cusum_1m_quality_score_t-3,10625.888772010803
close_position_in_range_1m_t-2,10607.1223706007
volume_t-3,10457.141897678375
cusum_1m_price_move_t-1,10398.529255390167
candle_relative_body_t-6,9951.45140349865
cusum_1m_quality_score_t-1,9938.92680478096
cusum_1m_quality_score_t-5,9894.084288835526
volume_t-8,9805.929420530796
cusum_1m_quality_score_t-8,9762.760450482368
body_to_range_ratio_1m_t-4,9641.373289346695
body_to_range_ratio_1m_t-2,9564.879750728607
cusum_1m_quality_score_t-9,9433.108857870102
cusum_1m_quality_score_t-2,9363.05959033966
cusum_1m_price_move_t-9,9351.226123332977
lower_shadow_ratio_t-3,9287.317447811365
body_to_range_ratio_1m_t-3,9252.145065784454
cusum_1m_quality_score_t-7,9227.378210872412
body_to_range_ratio_1m_t-8,9208.4942663908
close_position_in_range_1m_t-3,9195.196506500244
body_to_range_ratio_1m_t-1,9176.75218307972
plus_di_14_t0,9162.928910970688
cusum_1m_quality_score_t-6,9049.806686341763
upper_shadow_ratio_t-5,9016.990564286709
cusum_1m_price_move_t-6,8978.080131828785
lower_shadow_ratio_t-5,8962.775315523148
cusum_1m_price_move_t-5,8883.641911625862
cusum_1m_price_move_t-7,8873.316380292177
upper_shadow_ratio_t-6,8866.331299901009
close_position_in_range_1m_t-6,8828.902734041214
body_to_range_ratio_1m_t-7,8759.728879928589
upper_shadow_ratio_t-9,8745.268169939518
candle_relative_body_t-9,8654.809202551842
body_to_range_ratio_1m_t-6,8653.581227779388
close_position_in_range_1m_t-9,8590.349059522152
volume_t-6,8571.527090668678
upper_shadow_ratio_t-3,8541.438754320145
volume_t-4,8475.855352044106
candle_relative_body_t-7,8354.21832215786
volume_t-7,8292.499925017357
lower_shadow_ratio_t-6,8278.15717792511
cusum_1m_quality_score_t-4,8275.363885641098
candle_relative_body_t-3,8273.410404086113
cusum_1m_price_move_t-8,8272.436295717955
body_to_range_ratio_1m_t-5,8266.242784261703
candle_relative_body_t-4,8259.525660514832
body_to_range_ratio_1m_t-9,8226.483840823174
lower_shadow_ratio_t-9,8187.441558718681
lower_shadow_ratio_t-4,8148.130645990372
upper_shadow_ratio_t-7,8132.929649233818
candle_relative_body_t-8,8116.8459649682045
cusum_1m_price_move_t-4,8062.303020238876
lower_shadow_ratio_t-8,7999.07497549057
close_position_in_range_1m_t-4,7910.624752879143
upper_shadow_ratio_t-8,7829.083244085312
candle_relative_body_t-5,7783.5633264780045
close_position_in_range_1m_t-7,7763.998624920845
volume_t-9,7757.245960950851
upper_shadow_ratio_t-4,7742.92798769474
close_position_in_range_1m_t-8,7562.005681872368
volume_ratio_ema3_t-2,7348.293098449707
lower_shadow_ratio_t-7,7335.991755723953
candle_relative_body_t-2,6955.830129444599
close_position_in_range_1m_t-5,6703.630261063576
plus_di_14_t-1,4459.760037899017
volume_ratio_ema3_t-5,4206.106469035149
volume_ratio_ema3_t-3,3964.277974486351
volume_ratio_ema3_t-8,3811.12550508976
volume_ratio_ema3_t-6,3745.025454878807
