base_feature,total_gain
cusum_1m_trend_aligned,399572.49060070515
volume,241927.26403543353
upper_shadow_ratio,231335.6228839755
lower_shadow_ratio,220952.83314931393
cusum_1m_price_move,203217.56759233773
candle_relative_body,123534.97602573037
cusum_1m_quality_score,112428.18137991428
close_position_in_range_1m,103500.56281900406
body_to_range_ratio_1m,100576.2033379376
volume_ratio_ema3,90824.08943653107
cmo_14,25085.133675694466
bb_position,17484.731437563896
plus_di_14,16577.542061567307
price_vs_vwap,14252.95437502861
trend_acceleration_ema7,8636.221192717552
regime_volatility,5320.33360016346
adx_14,5279.467210769653
bb_width,5066.064117908478
minus_di_14,4646.420804262161
is_trend_pattern_1m,1939.2626404762268
atr_14_normalized,1405.4020593166351
