feature,gain
cusum_1m_trend_aligned_t0,396465.0625805855
upper_shadow_ratio_t0,125935.82891023159
lower_shadow_ratio_t0,121404.95248180628
cusum_1m_price_move_t0,106374.28601074219
volume_t0,99295.47844266891
volume_t-1,42591.69909721613
volume_ratio_ema3_t0,38089.82362759113
candle_relative_body_t0,36708.07179129124
cusum_1m_quality_score_t0,18223.659378051758
upper_shadow_ratio_t-1,17807.95646727085
volume_t-2,17133.809629917145
lower_shadow_ratio_t-1,16691.910651922226
volume_ratio_ema3_t-1,16359.91780424118
upper_shadow_ratio_t-2,14052.647700667381
close_position_in_range_1m_t0,13709.675506591797
cmo_14_t0,11527.620348930359
close_position_in_range_1m_t-1,11458.881559848785
bb_position_t0,11298.841092348099
lower_shadow_ratio_t-2,10414.554611444473
cusum_1m_price_move_t-2,10413.697449684143
plus_di_14_t0,9771.535979747772
body_to_range_ratio_1m_t0,9668.951697230339
cusum_1m_price_move_t-1,9457.283545613289
cusum_1m_price_move_t-3,9382.468658566475
close_position_in_range_1m_t-2,9313.018658399582
volume_t-3,9306.819762706757
candle_relative_body_t-1,8969.314191579819
cusum_1m_quality_score_t-1,8924.085967540741
cusum_1m_quality_score_t-3,8758.52731180191
body_to_range_ratio_1m_t-2,8617.099258899689
volume_t-5,8570.044567465782
candle_relative_body_t-6,8326.802866339684
lower_shadow_ratio_t-11,8138.7269159555435
body_to_range_ratio_1m_t-4,7931.068682551384
cusum_1m_price_move_t-9,7832.254731297493
cusum_1m_price_move_t-5,7785.194556593895
cusum_1m_quality_score_t-5,7773.262243151665
body_to_range_ratio_1m_t-6,7767.037784576416
cusum_1m_quality_score_t-8,7701.336104154587
body_to_range_ratio_1m_t-1,7594.954876542091
lower_shadow_ratio_t-3,7588.433782219887
volume_t-8,7576.574072122574
candle_relative_body_t-4,7537.152673363686
close_position_in_range_1m_t-9,7484.490557849407
body_to_range_ratio_1m_t-3,7470.8102197647095
lower_shadow_ratio_t-10,7425.642097711563
body_to_range_ratio_1m_t-8,7425.339377045631
close_position_in_range_1m_t-11,7297.592030286789
cusum_1m_quality_score_t-2,7260.500319123268
cusum_1m_quality_score_t-9,7249.7058936953545
upper_shadow_ratio_t-5,7238.203064084053
body_to_range_ratio_1m_t-10,7218.798699617386
lower_shadow_ratio_t-4,7217.8352954387665
cusum_1m_price_move_t-7,7210.070779204369
volume_t-10,7196.5986914634705
close_position_in_range_1m_t-3,7187.945261716843
lower_shadow_ratio_t-5,7159.531579256058
candle_relative_body_t-9,7147.095058441162
candle_relative_body_t-8,7138.597973942757
cusum_1m_price_move_t-6,7129.872049570084
cusum_1m_quality_score_t-7,7120.877765655518
volume_t-7,7101.654310703278
upper_shadow_ratio_t-9,7028.438739180565
cmo_14_t-1,7028.140229701996
close_position_in_range_1m_t-6,6966.989261984825
cusum_1m_quality_score_t-10,6918.900219917297
cusum_1m_quality_score_t-11,6902.820699810982
body_to_range_ratio_1m_t-7,6890.118032455444
upper_shadow_ratio_t-6,6854.178751945496
close_position_in_range_1m_t-10,6838.774297833443
candle_relative_body_t-10,6832.608521461487
volume_t-4,6812.186572670937
cusum_1m_quality_score_t-6,6808.383702516556
volume_t-6,6795.819926023483
upper_shadow_ratio_t-8,6792.055792331696
body_to_range_ratio_1m_t-5,6716.477136492729
upper_shadow_ratio_t-3,6694.203158706427
upper_shadow_ratio_t-10,6582.834439277649
body_to_range_ratio_1m_t-11,6481.580591678619
upper_shadow_ratio_t-4,6453.597973525524
cusum_1m_price_move_t-4,6438.302385210991
candle_relative_body_t-7,6437.82841694355
cusum_1m_quality_score_t-4,6424.296709775925
candle_relative_body_t-3,6411.412976264954
lower_shadow_ratio_t-6,6405.948696136475
