base_feature,total_gain
cusum_1m_trend_aligned,392776.29576587677
volume,204454.8044537902
upper_shadow_ratio,195798.34636950493
lower_shadow_ratio,187637.4015493989
cusum_1m_price_move,170568.93052455783
candle_relative_body,102088.61805774271
cusum_1m_quality_score,93215.37013846636
close_position_in_range_1m,88135.16303052008
body_to_range_ratio_1m,85252.9868695736
volume_ratio_ema3,76665.56976115704
price_vs_vwap,10370.09968137741
cmo_14,9448.385342597961
plus_di_14,9398.68518948555
minus_di_14,5520.761385202408
adx_14,4851.408467888832
trend_acceleration_ema7,4275.385236024857
regime_volatility,3840.8102762699127
bb_position,3727.5644820928574
bb_width,2360.1870146989822
is_trend_pattern_1m,1849.2844018936157
atr_14_normalized,711.384367108345
