feature,gain
cusum_1m_trend_aligned_t0,393571.03997182846
lower_shadow_ratio_t0,126225.18752908707
upper_shadow_ratio_t0,123354.1251475811
cusum_1m_price_move_t0,111656.43067443371
volume_t0,99451.24151098728
volume_ratio_ema3_t0,43325.961830616
volume_t-1,42356.3638010025
candle_relative_body_t0,38139.518306970596
cusum_1m_quality_score_t0,19921.83992254734
upper_shadow_ratio_t-1,19407.845395207405
volume_t-2,18230.3559820652
lower_shadow_ratio_t-1,17927.443832993507
volume_ratio_ema3_t-1,17906.74207031727
close_position_in_range_1m_t0,15877.901249885559
upper_shadow_ratio_t-2,14276.65931737423
bb_position_t0,12535.754373073578
close_position_in_range_1m_t-1,12499.658293426037
lower_shadow_ratio_t-2,11392.201569110155
cusum_1m_price_move_t-2,11273.790523052216
cusum_1m_price_move_t-1,10787.691216349602
cusum_1m_price_move_t-3,10679.837893247604
body_to_range_ratio_1m_t0,10651.980927497149
cusum_1m_quality_score_t-3,10598.458021759987
close_position_in_range_1m_t-2,10584.534798264503
cmo_14_t0,10272.73516690731
candle_relative_body_t-1,10129.991207897663
volume_t-3,10098.154209375381
cusum_1m_quality_score_t-1,9944.07870067656
plus_di_14_t0,9825.492685079575
volume_t-5,9803.741248011589
body_to_range_ratio_1m_t-3,9289.201179981232
body_to_range_ratio_1m_t-2,9246.81779062748
candle_relative_body_t-6,9106.199624359608
body_to_range_ratio_1m_t-8,9053.065281629562
cusum_1m_quality_score_t-8,9015.498449385166
body_to_range_ratio_1m_t-4,8977.564321875572
lower_shadow_ratio_t-3,8919.644851565361
volume_t-8,8913.18983221054
cusum_1m_quality_score_t-9,8853.887343168259
cusum_1m_price_move_t-9,8833.078243494034
body_to_range_ratio_1m_t-6,8710.900999069214
upper_shadow_ratio_t-9,8683.762056052685
lower_shadow_ratio_t-5,8656.234525561333
cusum_1m_quality_score_t-7,8570.541689038277
cusum_1m_quality_score_t-2,8527.12098288536
volume_t-10,8505.980640292168
close_position_in_range_1m_t-3,8426.187952280045
body_to_range_ratio_1m_t-10,8424.583350300789
cusum_1m_price_move_t-7,8374.362815380096
cusum_1m_price_move_t-5,8372.708432793617
candle_relative_body_t-9,8366.881927341223
volume_t-6,8364.202194333076
upper_shadow_ratio_t-6,8355.806294679642
upper_shadow_ratio_t-5,8346.82644367218
lower_shadow_ratio_t-10,8345.167339324951
close_position_in_range_1m_t-6,8330.85561990738
cmo_14_t-1,8260.734533786774
candle_relative_body_t-4,8246.776190400124
cusum_1m_price_move_t-10,8245.729516208172
cusum_1m_quality_score_t-10,8173.703513979912
volume_t-4,8142.439085245132
body_to_range_ratio_1m_t-1,8127.822700738907
lower_shadow_ratio_t-4,8103.534005820751
body_to_range_ratio_1m_t-7,8043.997317671776
close_position_in_range_1m_t-9,8038.154383778572
cusum_1m_quality_score_t-5,8034.149369835854
upper_shadow_ratio_t-10,8029.140491843224
lower_shadow_ratio_t-8,7990.692979216576
