base_feature,total_gain
cusum_1m_trend_aligned,398878.5700340271
volume,228304.956250906
upper_shadow_ratio,220041.44634789228
lower_shadow_ratio,219439.6351338327
cusum_1m_price_move,201428.6388911456
candle_relative_body,118196.7449503839
cusum_1m_quality_score,107063.8447611481
close_position_in_range_1m,100067.32058298588
volume_ratio_ema3,97032.11283445358
body_to_range_ratio_1m,95307.87165018916
cmo_14,23487.253913283348
plus_di_14,18428.912081480026
bb_position,17295.04561173916
price_vs_vwap,13562.759064793587
trend_acceleration_ema7,8336.352824926376
regime_volatility,5388.186879396439
minus_di_14,5188.463929176331
adx_14,5022.216816544533
bb_width,4730.32175385952
is_trend_pattern_1m,1800.1724722385406
