feature,gain
cusum_1m_trend_aligned_t0,394596.4264984131
upper_shadow_ratio_t0,130809.14010632038
lower_shadow_ratio_t0,122357.60433283448
cusum_1m_price_move_t0,108868.43029427528
volume_t0,103238.38946425915
volume_t-1,44817.81187057495
volume_ratio_ema3_t0,39475.876567959785
candle_relative_body_t0,38840.52541601658
cusum_1m_quality_score_t0,20973.155212044716
upper_shadow_ratio_t-1,19635.800636291504
volume_t-2,18861.700281739235
lower_shadow_ratio_t-1,18579.651025414467
volume_ratio_ema3_t-1,17029.004524588585
close_position_in_range_1m_t0,16059.7379758358
upper_shadow_ratio_t-2,15350.990449547768
close_position_in_range_1m_t-1,12749.199801295996
cusum_1m_price_move_t-2,12451.340708732605
bb_position_t0,12136.394008994102
lower_shadow_ratio_t-2,12123.893797397614
cmo_14_t0,11865.078966379166
cusum_1m_price_move_t-3,11362.117939591408
body_to_range_ratio_1m_t0,11253.675394773483
volume_t-5,10771.69257926941
volume_t-3,10702.144616127014
cusum_1m_quality_score_t-3,10615.114500880241
cusum_1m_price_move_t-1,10614.420345425606
close_position_in_range_1m_t-2,10458.82595360279
cusum_1m_quality_score_t-1,10280.370849370956
candle_relative_body_t-1,10238.061771646142
body_to_range_ratio_1m_t-2,10027.01378595829
cusum_1m_quality_score_t-8,9879.989740490913
body_to_range_ratio_1m_t-4,9742.45223903656
candle_relative_body_t-6,9738.753209233284
body_to_range_ratio_1m_t-8,9697.678698658943
cusum_1m_quality_score_t-2,9611.382045686245
lower_shadow_ratio_t-3,9506.234059333801
volume_t-8,9485.252464056015
volume_t-6,9334.93747806549
volume_t-10,9321.205209255219
close_position_in_range_1m_t-6,9241.529968261719
cusum_1m_quality_score_t-9,9227.192521691322
body_to_range_ratio_1m_t-5,9189.500568389893
body_to_range_ratio_1m_t-10,9161.870047688484
plus_di_14_t0,9075.013019800186
cusum_1m_price_move_t-10,9073.723830550909
cusum_1m_price_move_t-5,9069.559967935085
lower_shadow_ratio_t-5,8970.772746443748
lower_shadow_ratio_t-4,8943.448114275932
upper_shadow_ratio_t-3,8942.437471151352
cusum_1m_quality_score_t-10,8927.758983910084
body_to_range_ratio_1m_t-6,8882.076125979424
upper_shadow_ratio_t-6,8874.70286668837
body_to_range_ratio_1m_t-1,8827.56065273285
cusum_1m_price_move_t-9,8821.518739715219
candle_relative_body_t-9,8801.310096144676
cusum_1m_quality_score_t-5,8796.867223858833
close_position_in_range_1m_t-9,8787.575367957354
body_to_range_ratio_1m_t-3,8767.184169054031
cusum_1m_quality_score_t-7,8764.950680017471
cusum_1m_quality_score_t-6,8763.410019397736
cusum_1m_price_move_t-6,8744.826771438122
close_position_in_range_1m_t-3,8717.520308852196
lower_shadow_ratio_t-10,8709.875011324883
upper_shadow_ratio_t-5,8560.87542323023
body_to_range_ratio_1m_t-7,8516.466227293015
candle_relative_body_t-10,8504.191872417927
upper_shadow_ratio_t-10,8501.089071512222
close_position_in_range_1m_t-10,8378.89455652237
cusum_1m_price_move_t-8,8331.79555106163
candle_relative_body_t-3,8306.681375145912
upper_shadow_ratio_t-9,8286.137786388397
candle_relative_body_t-4,8283.62626183033
cusum_1m_price_move_t-7,8232.585022091866
volume_t-4,8183.409177899361
candle_relative_body_t-5,8148.631353259087
candle_relative_body_t-8,8144.768352329731
volume_t-7,8048.317962408066
lower_shadow_ratio_t-6,8046.339083909988
upper_shadow_ratio_t-4,7985.634859204292
upper_shadow_ratio_t-7,7980.927242159843
lower_shadow_ratio_t-8,7979.378284141421
lower_shadow_ratio_t-9,7894.976357102394
cusum_1m_price_move_t-4,7857.990036427975
cmo_14_t-1,7850.812752485275
volume_t-9,7825.090604543686
upper_shadow_ratio_t-8,7746.891719341278
close_position_in_range_1m_t-7,7730.70757329464
body_to_range_ratio_1m_t-9,7711.876813232899
close_position_in_range_1m_t-4,7626.894695341587
cusum_1m_quality_score_t-4,7505.305596113205
candle_relative_body_t-7,7423.3853524923325
lower_shadow_ratio_t-7,7175.364779114723
close_position_in_range_1m_t-5,7153.436688780785
candle_relative_body_t-2,6928.959639668465
close_position_in_range_1m_t-8,6834.070076704025
volume_ratio_ema3_t-2,6603.699489951134
volume_ratio_ema3_t-5,3940.953066587448
volume_ratio_ema3_t-3,3925.7627648711205
bb_position_t-2,3829.60248875618
volume_ratio_ema3_t-10,3763.194421172142
volume_ratio_ema3_t-6,3528.350227355957
volume_ratio_ema3_t-7,3525.267542362213
volume_ratio_ema3_t-8,3436.8693177700043
trend_acceleration_ema7_t-2,3359.034013271332
volume_ratio_ema3_t-4,3089.021940946579
price_vs_vwap_t0,3032.1539427042007
plus_di_14_t-1,2896.0116534233093
price_vs_vwap_t-2,2553.7493703365326
cusum_1m_trend_aligned_t-2,2507.61227619648
volume_ratio_ema3_t-9,2494.9142439365387
plus_di_14_t-2,1897.4665293693542
trend_acceleration_ema7_t0,1831.2310593128204
minus_di_14_t0,1641.0738179683685
price_vs_vwap_t-3,1483.35635304451
cmo_14_t-2,1351.9902194738388
price_vs_vwap_t-1,1277.8208675384521
minus_di_14_t-1,1096.352975845337
price_vs_vwap_t-6,984.8833644390106
price_vs_vwap_t-9,951.671350479126
price_vs_vwap_t-8,883.7264313697815
price_vs_vwap_t-10,841.921129822731
price_vs_vwap_t-7,839.5502294301987
trend_acceleration_ema7_t-10,800.0425711870193
regime_volatility_t0,757.2794605493546
is_trend_pattern_1m_t0,750.6527142524719
price_vs_vwap_t-4,734.6931982040405
price_vs_vwap_t-5,720.4751110076904
bb_width_t0,660.4263935089111
adx_14_t-1,648.6182091236115
adx_14_t0,645.8592780828476
trend_acceleration_ema7_t-1,631.4314715862274
cmo_14_t-9,608.9665154218674
regime_volatility_t-6,598.3514003753662
bb_width_t-10,595.4575915336609
minus_di_14_t-2,595.2128882408142
plus_di_14_t-5,594.3845800161362
cmo_14_t-10,572.4254432916641
cusum_1m_trend_aligned_t-3,571.3860000371933
plus_di_14_t-3,539.002387046814
cmo_14_t-5,535.863655090332
regime_volatility_t-10,530.8122497797012
cusum_1m_trend_aligned_t-1,528.3677017688751
cmo_14_t-4,524.1108210086823
bb_width_t-7,520.404620885849
adx_14_t-8,510.757240653038
adx_14_t-10,505.0007870197296
bb_width_t-2,479.3949007987976
bb_position_t-1,467.7810728549957
regime_volatility_t-9,460.69154834747314
cmo_14_t-8,457.6647982597351
bb_width_t-9,449.8346588611603
regime_volatility_t-2,448.58792996406555
cmo_14_t-7,443.6454701423645
adx_14_t-2,442.0646302700043
regime_volatility_t-4,436.9575536251068
bb_position_t-3,427.93185329437256
bb_width_t-4,420.5553197860718
regime_volatility_t-8,419.6586626768112
cusum_1m_trend_aligned_t-4,411.5781891345978
adx_14_t-9,409.319100856781
adx_14_t-4,403.18680024147034
bb_width_t-8,399.448792219162
adx_14_t-3,396.24541211128235
bb_width_t-3,394.054949760437
bb_width_t-1,394.03395187854767
regime_volatility_t-5,388.5083304643631
regime_volatility_t-3,382.128360748291
trend_acceleration_ema7_t-9,371.1477711200714
plus_di_14_t-9,370.5578314065933
cmo_14_t-3,370.26583313941956
bb_width_t-5,360.1444876194
cusum_1m_trend_aligned_t-5,343.49754881858826
adx_14_t-7,342.4670395851135
bb_position_t-10,335.74977111816406
plus_di_14_t-7,334.02418088912964
minus_di_14_t-6,332.55687952041626
regime_volatility_t-1,331.7040203809738
minus_di_14_t-8,325.10653257369995
plus_di_14_t-6,319.5644190311432
trend_acceleration_ema7_t-8,315.11352133750916
cmo_14_t-6,314.2498619556427
trend_acceleration_ema7_t-7,307.2620782852173
trend_acceleration_ema7_t-3,306.4859609603882
bb_width_t-6,295.0659203529358
minus_di_14_t-3,294.4790279865265
adx_14_t-6,293.69815969467163
regime_volatility_t-7,289.0388882160187
plus_di_14_t-10,279.9579384326935
minus_di_14_t-5,270.78911113739014
cusum_1m_trend_aligned_t-6,263.0476496219635
adx_14_t-5,261.0283305644989
plus_di_14_t-8,215.50882124900818
bb_position_t-5,215.07196950912476
cusum_1m_trend_aligned_t-7,214.19751012325287
minus_di_14_t-7,209.024320602417
trend_acceleration_ema7_t-5,208.85709190368652
atr_14_normalized_t0,204.93617916107178
atr_14_normalized_t-10,204.92986845970154
minus_di_14_t-4,203.97823894023895
trend_acceleration_ema7_t-4,202.59349942207336
is_trend_pattern_1m_t-9,201.79361963272095
bb_position_t-9,197.8611719608307
trend_acceleration_ema7_t-6,197.58685898780823
plus_di_14_t-4,192.2580587863922
bb_position_t-8,187.69726872444153
cusum_1m_trend_aligned_t-10,186.8285698890686
is_trend_pattern_1m_t-7,181.81672036647797
minus_di_14_t-9,171.2111291885376
is_trend_pattern_1m_t-3,159.0513095855713
bb_position_t-4,157.9006905555725
atr_14_normalized_t-6,156.41308069229126
is_trend_pattern_1m_t-1,147.0979905128479
cusum_1m_trend_aligned_t-8,144.03323888778687
bb_position_t-6,133.9528205394745
atr_14_normalized_t-9,129.553870677948
cusum_1m_trend_aligned_t-9,125.93221068382263
minus_di_14_t-10,116.6805305480957
atr_14_normalized_t-7,115.19388937950134
atr_14_normalized_t-3,108.17465031147003
is_trend_pattern_1m_t-10,107.97425067424774
is_trend_pattern_1m_t-4,107.95013046264648
atr_14_normalized_t-5,101.94318056106567
