feature,gain
cusum_1m_trend_aligned_t0,370156.4695854187
upper_shadow_ratio_t0,127919.57546877861
lower_shadow_ratio_t0,122100.30743122101
cusum_1m_price_move_t0,113569.55721354485
volume_t0,96486.18077683449
volume_t-1,38352.20261001587
candle_relative_body_t0,37216.061003923416
volume_ratio_ema3_t0,35412.329058647156
volume_ratio_ema3_t-1,15130.250827789307
upper_shadow_ratio_t-1,14030.934519290924
lower_shadow_ratio_t-1,13687.952162742615
cusum_1m_quality_score_t0,13201.37089085579
volume_t-2,12999.528628110886
plus_di_14_t0,11739.944783449173
close_position_in_range_1m_t0,10427.272167682648
cmo_14_t0,9416.977074623108
bb_position_t0,9363.567441940308
upper_shadow_ratio_t-2,9307.495563149452
cmo_14_t-1,7789.504063367844
close_position_in_range_1m_t-1,7534.863312721252
cusum_1m_price_move_t-2,7237.02176964283
lower_shadow_ratio_t-2,6817.912664413452
volume_t-3,6451.031894445419
body_to_range_ratio_1m_t0,5926.1348341703415
volume_t-5,5805.253535985947
cusum_1m_price_move_t-3,5348.661546945572
volume_ratio_ema3_t-2,5319.153273105621
body_to_range_ratio_1m_t-27,5264.991838932037
close_position_in_range_1m_t-2,5094.882539510727
cusum_1m_quality_score_t-22,5024.863329291344
cusum_1m_quality_score_t-1,4833.7861976623535
cusum_1m_price_move_t-1,4750.21848654747
candle_relative_body_t-1,4744.86961722374
cusum_1m_quality_score_t-3,4379.664913654327
volume_t-10,4360.214306354523
close_position_in_range_1m_t-28,4326.154000759125
candle_relative_body_t-6,4291.5691385269165
candle_relative_body_t-23,4277.167634725571
cusum_1m_quality_score_t-20,4218.770224809647
lower_shadow_ratio_t-26,4165.722208023071
close_position_in_range_1m_t-26,4124.139140129089
cusum_1m_quality_score_t-17,4102.833601236343
body_to_range_ratio_1m_t-2,4074.1182725429535
volume_t-8,4070.603354215622
close_position_in_range_1m_t-27,4031.7262597084045
lower_shadow_ratio_t-11,4015.6314742565155
cusum_1m_quality_score_t-23,3971.4976210594177
cusum_1m_quality_score_t-8,3949.5975420475006
close_position_in_range_1m_t-3,3923.25541973114
cusum_1m_price_move_t-24,3910.385644197464
close_position_in_range_1m_t-11,3904.2734310626984
body_to_range_ratio_1m_t-6,3888.0926134586334
cusum_1m_quality_score_t-19,3885.529542207718
cusum_1m_price_move_t-22,3879.15829205513
cusum_1m_quality_score_t-14,3858.476800918579
volume_t-28,3806.7967269420624
close_position_in_range_1m_t-6,3801.5840656757355
upper_shadow_ratio_t-23,3795.999014854431
lower_shadow_ratio_t-3,3795.7219591140747
cusum_1m_quality_score_t-29,3770.149871826172
cusum_1m_quality_score_t-5,3761.603298187256
upper_shadow_ratio_t-16,3759.167188644409
volume_t-20,3756.9021587371826
body_to_range_ratio_1m_t-13,3739.9943408966064
lower_shadow_ratio_t-27,3733.192336320877
cusum_1m_quality_score_t-21,3705.1121737957
upper_shadow_ratio_t-21,3683.2258365154266
body_to_range_ratio_1m_t-26,3680.3938245773315
candle_relative_body_t-29,3675.608533859253
close_position_in_range_1m_t-13,3656.6550800800323
body_to_range_ratio_1m_t-4,3648.7087619304657
upper_shadow_ratio_t-17,3647.5633368492126
candle_relative_body_t-21,3641.2886403799057
lower_shadow_ratio_t-23,3641.133376121521
upper_shadow_ratio_t-28,3631.555125951767
upper_shadow_ratio_t-9,3627.8391593694687
body_to_range_ratio_1m_t-23,3623.022476911545
cusum_1m_quality_score_t-2,3621.652336716652
close_position_in_range_1m_t-24,3616.8120255470276
cusum_1m_quality_score_t-12,3604.4739661216736
lower_shadow_ratio_t-8,3584.091262102127
body_to_range_ratio_1m_t-3,3576.4686391353607
cusum_1m_price_move_t-9,3567.672375679016
cusum_1m_price_move_t-5,3559.6276462078094
body_to_range_ratio_1m_t-17,3559.0808041095734
volume_t-4,3552.4557774066925
lower_shadow_ratio_t-5,3529.181478738785
cusum_1m_quality_score_t-26,3524.764148235321
volume_t-6,3512.1851449012756
body_to_range_ratio_1m_t-1,3511.0494797229767
lower_shadow_ratio_t-10,3500.7040510177612
cusum_1m_quality_score_t-10,3490.820166349411
body_to_range_ratio_1m_t-18,3477.840277194977
cusum_1m_quality_score_t-25,3476.1865220069885
candle_relative_body_t-13,3462.2747418880463
body_to_range_ratio_1m_t-28,3443.299596309662
body_to_range_ratio_1m_t-14,3424.0154662132263
body_to_range_ratio_1m_t-8,3394.0580883026123
upper_shadow_ratio_t-15,3392.6585154533386
cusum_1m_quality_score_t-6,3389.2561314105988
close_position_in_range_1m_t-17,3366.2763698101044
cusum_1m_quality_score_t-7,3365.0396933555603
lower_shadow_ratio_t-15,3364.671616077423
upper_shadow_ratio_t-6,3357.555512905121
body_to_range_ratio_1m_t-21,3357.544146299362
cusum_1m_quality_score_t-9,3354.597445487976
cusum_1m_price_move_t-6,3349.779076218605
upper_shadow_ratio_t-14,3344.7383284568787
cusum_1m_price_move_t-25,3338.8396334648132
candle_relative_body_t-27,3310.753916978836
cusum_1m_quality_score_t-18,3276.830858230591
cusum_1m_quality_score_t-28,3268.216680288315
volume_t-22,3267.792529821396
cusum_1m_price_move_t-29,3267.214661359787
body_to_range_ratio_1m_t-10,3266.31339430809
volume_t-7,3260.6851527690887
cusum_1m_price_move_t-27,3259.309577226639
close_position_in_range_1m_t-10,3244.7632999420166
upper_shadow_ratio_t-29,3235.9275082349777
close_position_in_range_1m_t-14,3235.229628801346
cusum_1m_price_move_t-19,3225.787068605423
cusum_1m_quality_score_t-11,3224.3071982860565
upper_shadow_ratio_t-5,3219.5634512901306
cusum_1m_price_move_t-10,3203.110056757927
body_to_range_ratio_1m_t-29,3191.650945663452
candle_relative_body_t-25,3188.9376425743103
candle_relative_body_t-19,3188.312045097351
lower_shadow_ratio_t-12,3187.855309844017
lower_shadow_ratio_t-17,3187.6380319595337
price_vs_vwap_t-2,3181.234091281891
candle_relative_body_t-20,3181.0110380649567
close_position_in_range_1m_t-18,3175.5663707256317
candle_relative_body_t-24,3168.6843988895416
cusum_1m_price_move_t-20,3167.9834520816803
lower_shadow_ratio_t-19,3167.9413409233093
upper_shadow_ratio_t-10,3157.5963203907013
candle_relative_body_t-18,3156.4421792030334
upper_shadow_ratio_t-8,3145.513761281967
candle_relative_body_t-16,3142.1985290050507
upper_shadow_ratio_t-3,3141.4115368127823
candle_relative_body_t-11,3136.507766008377
body_to_range_ratio_1m_t-25,3132.60538482666
cusum_1m_price_move_t-26,3132.0186383724213
lower_shadow_ratio_t-6,3120.9656457901
lower_shadow_ratio_t-22,3120.106875181198
cusum_1m_price_move_t-21,3109.8541147708893
upper_shadow_ratio_t-20,3093.181320309639
cusum_1m_quality_score_t-27,3087.7638170719147
candle_relative_body_t-4,3084.5050461292267
body_to_range_ratio_1m_t-15,3076.5469193458557
candle_relative_body_t-12,3072.954290151596
upper_shadow_ratio_t-19,3068.378973722458
cusum_1m_price_move_t-12,3067.946189880371
candle_relative_body_t-8,3067.8286895751953
close_position_in_range_1m_t-19,3064.6121463775635
upper_shadow_ratio_t-13,3064.0217282772064
close_position_in_range_1m_t-25,3055.7993371486664
cusum_1m_price_move_t-28,3050.8931386470795
body_to_range_ratio_1m_t-12,3049.753536939621
volume_t-29,3047.9898357391357
body_to_range_ratio_1m_t-7,3045.607803106308
close_position_in_range_1m_t-7,3022.753865838051
cusum_1m_price_move_t-18,3011.480848789215
candle_relative_body_t-14,3002.349067926407
lower_shadow_ratio_t-29,3002.2999041080475
close_position_in_range_1m_t-16,3000.429801940918
body_to_range_ratio_1m_t-5,2999.5648362636566
cusum_1m_price_move_t-17,2995.0068418979645
close_position_in_range_1m_t-9,2989.2444293498993
upper_shadow_ratio_t-26,2964.757344484329
close_position_in_range_1m_t-21,2959.9244418144226
cusum_1m_quality_score_t-4,2947.40847492218
candle_relative_body_t-7,2946.096319437027
cusum_1m_quality_score_t-24,2945.204082965851
lower_shadow_ratio_t-4,2942.3235008716583
cusum_1m_price_move_t-15,2932.9597586393356
cusum_1m_price_move_t-16,2923.78191947937
candle_relative_body_t-22,2908.144107103348
candle_relative_body_t-3,2905.288370847702
body_to_range_ratio_1m_t-11,2903.179037809372
cusum_1m_price_move_t-11,2901.112448453903
close_position_in_range_1m_t-15,2890.9102895259857
candle_relative_body_t-15,2890.277368545532
body_to_range_ratio_1m_t-19,2885.8827534914017
candle_relative_body_t-10,2883.355221748352
candle_relative_body_t-9,2881.0762734413147
candle_relative_body_t-28,2880.0655739307404
body_to_range_ratio_1m_t-24,2876.8226338624954
lower_shadow_ratio_t-28,2858.681740760803
volume_t-9,2856.9205009937286
candle_relative_body_t-5,2850.668885707855
cusum_1m_price_move_t-7,2827.9244482517242
cusum_1m_price_move_t-13,2818.837685108185
cusum_1m_price_move_t-8,2812.7491602897644
cusum_1m_quality_score_t-15,2805.0885927677155
close_position_in_range_1m_t-12,2795.2977163791656
lower_shadow_ratio_t-24,2779.1289513111115
lower_shadow_ratio_t-16,2776.7706582546234
cusum_1m_price_move_t-14,2772.6409573554993
upper_shadow_ratio_t-4,2759.0990397930145
upper_shadow_ratio_t-25,2743.5821828842163
upper_shadow_ratio_t-12,2740.0756199359894
volume_t-14,2739.867172241211
upper_shadow_ratio_t-7,2733.6653864383698
upper_shadow_ratio_t-22,2723.7862944602966
volume_t-23,2721.795167684555
volume_t-11,2716.2529044151306
volume_t-12,2708.7171416282654
body_to_range_ratio_1m_t-9,2706.554948091507
volume_t-13,2702.731323003769
lower_shadow_ratio_t-18,2669.2200919389725
close_position_in_range_1m_t-4,2667.346776008606
close_position_in_range_1m_t-8,2660.2451560497284
lower_shadow_ratio_t-13,2660.126805305481
volume_t-16,2658.134928703308
upper_shadow_ratio_t-11,2653.5098824501038
body_to_range_ratio_1m_t-22,2639.3723397254944
lower_shadow_ratio_t-25,2637.2323594093323
close_position_in_range_1m_t-20,2636.019313812256
close_position_in_range_1m_t-22,2630.037039041519
cusum_1m_quality_score_t-13,2624.7071528434753
lower_shadow_ratio_t-14,2618.126707315445
cusum_1m_price_move_t-4,2614.2157833576202
volume_t-18,2611.3615913391113
volume_t-17,2588.369062423706
lower_shadow_ratio_t-9,2579.45965218544
close_position_in_range_1m_t-5,2550.706068277359
close_position_in_range_1m_t-29,2527.266003370285
lower_shadow_ratio_t-21,2491.5061671733856
volume_t-27,2480.234509587288
body_to_range_ratio_1m_t-20,2479.6380455493927
body_to_range_ratio_1m_t-16,2470.7708117961884
volume_t-25,2464.3035383224487
volume_t-15,2463.240199804306
volume_t-26,2455.202711582184
upper_shadow_ratio_t-24,2416.063056707382
volume_t-21,2395.9203209877014
cusum_1m_quality_score_t-16,2395.1486024856567
upper_shadow_ratio_t-27,2391.9392087459564
volume_ratio_ema3_t-3,2375.5730743408203
cusum_1m_price_move_t-23,2372.531762123108
lower_shadow_ratio_t-7,2367.8985283374786
volume_ratio_ema3_t-5,2357.4622683525085
bb_position_t-2,2351.5145301818848
candle_relative_body_t-26,2261.79315161705
candle_relative_body_t-2,2240.9507689476013
volume_t-24,2225.2215638160706
volume_t-19,2192.587085723877
candle_relative_body_t-17,2134.535963177681
trend_acceleration_ema7_t-2,2119.0037310123444
lower_shadow_ratio_t-20,2066.050938606262
close_position_in_range_1m_t-23,1975.2447800636292
upper_shadow_ratio_t-18,1920.4233396053314
cusum_1m_trend_aligned_t-2,1893.273443698883
plus_di_14_t-1,1715.2565870285034
volume_ratio_ema3_t-10,1683.6719059944153
minus_di_14_t-1,1632.2382900714874
volume_ratio_ema3_t-8,1575.0304987430573
trend_acceleration_ema7_t0,1575.0222988128662
volume_ratio_ema3_t-4,1567.300316810608
volume_ratio_ema3_t-28,1519.8154129981995
volume_ratio_ema3_t-20,1496.8725099563599
volume_ratio_ema3_t-6,1495.20561170578
plus_di_14_t-2,1435.0989618301392
price_vs_vwap_t-1,1378.1567809581757
minus_di_14_t0,1377.278639793396
volume_ratio_ema3_t-23,1327.81809091568
volume_ratio_ema3_t-22,1254.6680574417114
volume_ratio_ema3_t-7,1192.3793737888336
volume_ratio_ema3_t-11,1184.0937416553497
price_vs_vwap_t0,1169.7442162036896
volume_ratio_ema3_t-9,1137.8884608745575
volume_ratio_ema3_t-26,1100.2087075710297
volume_ratio_ema3_t-29,1065.8759853839874
volume_ratio_ema3_t-25,1040.003731250763
volume_ratio_ema3_t-27,1031.602289199829
volume_ratio_ema3_t-18,1026.1538690328598
volume_ratio_ema3_t-14,995.4941504001617
volume_ratio_ema3_t-17,960.4216227531433
volume_ratio_ema3_t-21,955.3325991630554
volume_ratio_ema3_t-16,954.2996311187744
volume_ratio_ema3_t-13,937.3366570472717
volume_ratio_ema3_t-12,928.5752003192902
volume_ratio_ema3_t-24,915.7525577545166
volume_ratio_ema3_t-19,908.5974504947662
volume_ratio_ema3_t-15,885.7032101154327
minus_di_14_t-3,796.1240997314453
cmo_14_t-2,719.7262930870056
price_vs_vwap_t-13,466.99992322921753
price_vs_vwap_t-18,410.2070400714874
trend_acceleration_ema7_t-1,407.35876274108887
price_vs_vwap_t-3,401.7434892654419
price_vs_vwap_t-16,361.09211897850037
cusum_1m_trend_aligned_t-1,360.87712693214417
cusum_1m_trend_aligned_t-3,320.062139749527
price_vs_vwap_t-19,308.86729097366333
trend_acceleration_ema7_t-19,302.5728416442871
price_vs_vwap_t-15,291.9784607887268
minus_di_14_t-2,287.25691509246826
price_vs_vwap_t-22,280.7706809043884
price_vs_vwap_t-24,276.4348213672638
price_vs_vwap_t-11,273.7551188468933
price_vs_vwap_t-9,264.45634722709656
adx_14_t0,262.9508309364319
price_vs_vwap_t-23,262.7612886428833
price_vs_vwap_t-28,249.07522892951965
cusum_1m_trend_aligned_t-26,241.23579001426697
price_vs_vwap_t-8,240.90565180778503
minus_di_14_t-5,237.6520276069641
