feature,gain
cusum_1m_trend_aligned_t0,399284.4583387375
lower_shadow_ratio_t0,129612.79946875572
upper_shadow_ratio_t0,124875.03560304642
cusum_1m_price_move_t0,100605.92852449417
volume_t0,98254.35003876686
volume_t-1,43632.99519696832
volume_ratio_ema3_t0,43378.89074230194
candle_relative_body_t0,40414.86013895273
cusum_1m_quality_score_t0,19628.372324585915
upper_shadow_ratio_t-1,18797.389590740204
volume_t-2,18111.99336028099
lower_shadow_ratio_t-1,17527.014253377914
volume_ratio_ema3_t-1,16632.96106362343
close_position_in_range_1m_t0,14790.849586367607
upper_shadow_ratio_t-2,14475.697500228882
close_position_in_range_1m_t-1,13167.259656071663
cmo_14_t0,12144.80044221878
lower_shadow_ratio_t-2,11957.532749652863
cusum_1m_price_move_t-2,11333.41599458456
cmo_14_t-1,11125.138567447662
cusum_1m_price_move_t-3,11089.079929322004
candle_relative_body_t-1,10725.777932167053
bb_position_t0,10689.647688388824
body_to_range_ratio_1m_t0,10682.50896370411
volume_t-5,10331.026448845863
close_position_in_range_1m_t-2,10130.130752205849
cusum_1m_quality_score_t-3,10082.398931026459
volume_t-3,10023.903769016266
cusum_1m_price_move_t-1,9751.493164420128
candle_relative_body_t-6,9459.288433074951
cusum_1m_quality_score_t-1,9417.0809237957
cusum_1m_quality_score_t-5,9347.5473883152
cusum_1m_quality_score_t-8,9301.395930409431
volume_t-8,9217.136358261108
body_to_range_ratio_1m_t-4,9205.168959617615
plus_di_14_t0,9140.532981395721
body_to_range_ratio_1m_t-2,9062.09203004837
cusum_1m_price_move_t-9,8904.198813915253
cusum_1m_quality_score_t-2,8874.346222877502
lower_shadow_ratio_t-3,8809.84197819233
cusum_1m_quality_score_t-9,8797.710797548294
cusum_1m_quality_score_t-7,8768.538571923971
close_position_in_range_1m_t-3,8722.15891778469
body_to_range_ratio_1m_t-1,8689.518683552742
body_to_range_ratio_1m_t-8,8645.576377272606
body_to_range_ratio_1m_t-3,8619.74618434906
upper_shadow_ratio_t-5,8559.908819437027
cusum_1m_price_move_t-5,8502.882930874825
cusum_1m_price_move_t-6,8479.26972937584
cusum_1m_quality_score_t-6,8439.714638352394
lower_shadow_ratio_t-5,8423.307045578957
close_position_in_range_1m_t-6,8346.02912569046
upper_shadow_ratio_t-6,8342.05601131916
cusum_1m_price_move_t-7,8333.642318725586
upper_shadow_ratio_t-9,8255.507789075375
body_to_range_ratio_1m_t-7,8249.190528869629
body_to_range_ratio_1m_t-6,8223.407517313957
candle_relative_body_t-9,8183.591112971306
volume_t-6,8110.58704161644
close_position_in_range_1m_t-9,8089.599649369717
volume_t-4,8073.790433049202
upper_shadow_ratio_t-3,8044.716354846954
volume_t-7,7915.08666408062
candle_relative_body_t-7,7891.6001715660095
candle_relative_body_t-3,7806.638924360275
candle_relative_body_t-4,7800.113821029663
cusum_1m_quality_score_t-4,7783.990441322327
cusum_1m_price_move_t-8,7765.018533796072
lower_shadow_ratio_t-6,7725.090830564499
lower_shadow_ratio_t-9,7712.585719347
body_to_range_ratio_1m_t-9,7695.885500669479
body_to_range_ratio_1m_t-5,7674.108421325684
upper_shadow_ratio_t-7,7643.117607951164
lower_shadow_ratio_t-4,7631.7756860256195
candle_relative_body_t-8,7631.217706143856
cusum_1m_price_move_t-4,7592.130531191826
lower_shadow_ratio_t-8,7518.275164484978
close_position_in_range_1m_t-4,7378.610443949699
volume_t-9,7326.800190210342
upper_shadow_ratio_t-8,7309.121553897858
close_position_in_range_1m_t-7,7281.958334445953
candle_relative_body_t-5,7254.733806490898
upper_shadow_ratio_t-4,7242.401607990265
volume_ratio_ema3_t-2,7165.186578035355
close_position_in_range_1m_t-8,7116.90187060833
lower_shadow_ratio_t-7,6862.138684511185
candle_relative_body_t-2,6467.857220709324
close_position_in_range_1m_t-5,6256.094441652298
plus_di_14_t-1,4440.3381679058075
volume_ratio_ema3_t-5,4036.791389107704
volume_ratio_ema3_t-3,3849.470943570137
volume_ratio_ema3_t-8,3641.6950849294662
volume_ratio_ema3_t-6,3514.7508952617645
volume_ratio_ema3_t-7,3311.9319829940796
volume_ratio_ema3_t-4,3240.6358898878098
trend_acceleration_ema7_t-2,3166.4246706962585
volume_ratio_ema3_t-9,2840.0036227703094
cusum_1m_trend_aligned_t-2,2711.4872986078262
price_vs_vwap_t-2,2671.6814799308777
price_vs_vwap_t0,2611.8684935569763
trend_acceleration_ema7_t0,2096.74378657341
bb_position_t-2,1728.9276757240295
plus_di_14_t-2,1553.02996301651
price_vs_vwap_t-1,1367.6045908927917
price_vs_vwap_t-9,1301.5828292369843
price_vs_vwap_t-3,1204.3548090457916
cmo_14_t-2,1118.4502635002136
price_vs_vwap_t-8,1116.6341614723206
price_vs_vwap_t-6,1060.4510226249695
price_vs_vwap_t-7,937.0174946784973
trend_acceleration_ema7_t-1,866.7305021286011
minus_di_14_t-2,846.0436693429947
regime_volatility_t0,843.375061750412
minus_di_14_t0,812.2027192115784
cmo_14_t-8,724.9939284324646
adx_14_t-8,720.3594627380371
cmo_14_t-9,716.1541097164154
bb_width_t0,706.0137622356415
regime_volatility_t-9,701.9604713916779
price_vs_vwap_t-5,687.8645311594009
regime_volatility_t-8,651.8788111209869
cmo_14_t-3,640.7011005878448
price_vs_vwap_t-4,638.1610102653503
adx_14_t0,625.6133728027344
cusum_1m_trend_aligned_t-3,582.7553915977478
regime_volatility_t-1,575.5272765159607
adx_14_t-7,568.02015209198
plus_di_14_t-3,563.317183971405
minus_di_14_t-3,555.8357410430908
is_trend_pattern_1m_t0,535.9958996772766
adx_14_t-1,527.6718282699585
plus_di_14_t-5,525.1924922466278
trend_acceleration_ema7_t-9,517.5124821662903
regime_volatility_t-2,511.80113220214844
adx_14_t-9,509.7230803966522
regime_volatility_t-6,508.19101881980896
bb_width_t-9,501.2710111141205
minus_di_14_t-1,485.52611088752747
cmo_14_t-6,464.57072019577026
bb_width_t-8,458.0940489768982
cmo_14_t-7,456.8382475376129
bb_width_t-6,451.0447908639908
plus_di_14_t-7,447.9810092449188
bb_width_t-1,445.4681634902954
regime_volatility_t-4,445.1032180786133
bb_width_t-3,444.78084645420313
bb_width_t-4,438.9465665817261
regime_volatility_t-5,437.28396010398865
adx_14_t-2,433.02480125427246
bb_width_t-5,421.6334204673767
bb_width_t-2,415.42615008354187
adx_14_t-6,409.0104501247406
minus_di_14_t-9,407.52376317977905
regime_volatility_t-7,406.95835161209106
cmo_14_t-4,385.8836786746979
cusum_1m_trend_aligned_t-1,373.3812897205353
regime_volatility_t-3,372.006290435791
bb_width_t-7,366.3608696460724
bb_position_t-3,358.69851064682007
cmo_14_t-5,349.75590991973877
bb_position_t-1,342.11191987991333
adx_14_t-3,337.8881995677948
cusum_1m_trend_aligned_t-4,335.52692103385925
trend_acceleration_ema7_t-3,324.34197783470154
minus_di_14_t-5,317.48059725761414
plus_di_14_t-9,306.9300436973572
trend_acceleration_ema7_t-4,305.5527801513672
cusum_1m_trend_aligned_t-5,294.03644943237305
trend_acceleration_ema7_t-8,287.48268961906433
bb_position_t-9,278.63992977142334
adx_14_t-5,276.85371804237366
plus_di_14_t-6,262.4801199436188
trend_acceleration_ema7_t-6,262.27422857284546
bb_position_t-6,259.1176178455353
trend_acceleration_ema7_t-7,253.62586975097656
plus_di_14_t-8,253.45926904678345
minus_di_14_t-6,247.5073480606079
minus_di_14_t-7,245.2731704711914
is_trend_pattern_1m_t-7,235.7148585319519
cusum_1m_trend_aligned_t-6,224.23403143882751
trend_acceleration_ema7_t-5,222.9906108379364
bb_position_t-8,214.09050965309143
is_trend_pattern_1m_t-4,213.13792061805725
is_trend_pattern_1m_t-9,212.24490928649902
minus_di_14_t-8,209.91987228393555
adx_14_t-4,185.5688600540161
bb_position_t-5,184.00302147865295
atr_14_normalized_t0,182.98949027061462
cusum_1m_trend_aligned_t-9,158.24974060058594
is_trend_pattern_1m_t-1,154.29018926620483
cusum_1m_trend_aligned_t-7,152.0563099384308
atr_14_normalized_t-5,149.6937689781189
bb_position_t-4,148.9698611497879
bb_position_t-7,148.7901315689087
atr_14_normalized_t-3,133.99862957000732
minus_di_14_t-4,133.43916058540344
atr_14_normalized_t-2,131.81551098823547
atr_14_normalized_t-1,131.73559999465942
is_trend_pattern_1m_t-3,131.12751960754395
atr_14_normalized_t-7,129.72814083099365
plus_di_14_t-4,125.38565993309021
atr_14_normalized_t-9,122.23080062866211
atr_14_normalized_t-6,121.79901027679443
cusum_1m_trend_aligned_t-8,109.79038071632385
is_trend_pattern_1m_t-6,88.02487087249756
atr_14_normalized_t-8,86.90215945243835
